Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Pole_and_line,PL,0,0,0,0,0,0,1,1,1,0
Longlines,LL,0,1,0.15,0,0,0,1,1,1,0
Illegal_longlines,ILL,0,1,0.15,0,0,0,1,1,1,0
Hand_lines,HL,0,0,0,0,0,0,1,1,1,0
Handlines_and_dip-nets_(bait),HD,0,0,0,0,0,0,1,1,1,0
Illegal_purse_seine,IPS,0,0,0,0,0,0,1,1,1,0
Pots_and_hand_gathering,PH,0,0,0,0,0,0,1,1,1,0
NA,NA,0,0,0,0,0,0,1,1,1,0
NA,NA,0,0,0,0,0,0,1,1,1,0
NA,NA,0,0,0,0,0,0,1,1,1,0
NA,NA,0,0,0,0,0,0,1,1,1,0
NA,NA,0,0,0,0,0,0,1,1,1,0