Gear_name,Gear_code,Propgutted_PF,Propgutted_DF,Propgutted_MF,Propgutted_FDB,Propguttede_CSB,Propgutted_CZ,Propgutted_BD,Propgutted_SL,Propgutted_CT,Propgutted_KP
Pole_and_line,PL,0,0,1,0,0,0,0,0,0,0
Longlines,LL,0,0,1,0,0,0,0,0,0,0
Illegal_longlines,ILL,0,0,1,0,0,0,0,0,0,0
Hand_lines,HL,0,0,0,0,0,0,0,0,0,0
Handlines_and_dip-nets_(bait),HD,0,0,0,0,0,0,0,0,0,0
Illegal_purse_seine,IPS,0,0,1,0,0,0,0,0,0,0
Pots_and_hand_gathering,PH,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0